#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 3/44
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 64x36
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,     2304, ed89ecfda4d100416f0b1daab9744687
0,          1,          1,        1,     2304, a63f5e3371e7d3c608bfe8536e5a3109
0,          2,          2,        1,     2304, c715ec2443f29f814b4dfb0a53dfa141
0,          3,          3,        2,     2304, 4e0fbf3cd00f636a6d36dc15f261d733
0,          5,          5,        1,     2304, 40e9319ce5dfd3ea58618a23c5cc169d
0,          6,          6,        1,     2304, 4afea15c0060bbe554b795bef7305a2c
0,          7,          7,        1,     2304, a7b2568550664cb02e65b5a7e1cef993
0,          8,          8,        1,     2304, 2d844bfcc04099b85ad6578d19fbe55f
0,          9,          9,        1,     2304, 92215b129685b32c96b8d3cbebebe04e
0,         10,         10,        1,     2304, d4f296080ec2a1135c77a7a69ea06e1a
0,         11,         11,        1,     2304, 5d8f379fb8ef8b858ca5b9acab392c48
0,         12,         12,        1,     2304, ab9ef9dbd744f2c63c2f6e584721672a
0,         13,         13,        1,     2304, 980da526677da04f1d17389130347f57
0,         14,         14,        1,     2304, 08217646f8a1444be4985c697150a984
0,         15,         15,        1,     2304, adea26afcad5d9b6a6ccebaaa0b68f15
0,         16,         16,        1,     2304, 5354d4183519807245b555e5e988fb10
0,         17,         17,        1,     2304, cb8756c55940fa8d7e640b5344ddc31a
0,         18,         18,        1,     2304, 243114b1fcc5b89fa70a5b208e4f8623
0,         19,         19,        1,     2304, eb2e609553ff2060030cc069d516f9f4
0,         20,         20,        1,     2304, a54b6cad81b753f9d7ce11a9c7f492b9
0,         21,         21,        1,     2304, a898443b27594b20398b5eae5057458a
0,         22,         22,        1,     2304, 302c3c0ca935b3c65f9cee2019684969
0,         23,         23,        1,     2304, b79d8a29b8fe7d56ba5f294f79ea49ac
0,         24,         24,        1,     2304, 3db46dc94cdc1df2d79f6449209d4f88
0,         25,         25,        1,     2304, 951b0007a1342bc3979815d599839f62
0,         26,         26,        1,     2304, 668a2545d9b84aff7382dee53ff229f9
0,         27,         27,        1,     2304, 3e5111fe85bc5aff699d363bc0634bcf
0,         28,         28,        1,     2304, bdd47fcb4d2b01f84f6918234dfd80ea
0,         29,         29,        1,     2304, 786d64e1ff23b79793f022c26c0db949
0,         30,         30,        1,     2304, 101c22cc3c0ae4fe72b40fc48a21ac3e
0,         31,         31,        1,     2304, 29fea6804936fe6a7dbc021fd631320f
0,         32,         32,        1,     2304, 8dd031aef6512950686fbadf2e1ace50
0,         33,         33,        1,     2304, 21e09436a9accec4bb93703022424ade
0,         34,         34,        1,     2304, c00e897b8501c6c2e3d9020ef18de489
0,         35,         35,        1,     2304, 818d45ad045b4c2dfc27351bc82b02a6
0,         36,         36,        1,     2304, 67e6ba8325ecdeb78d6667cf3c0e15fd
0,         37,         37,        1,     2304, ccb3487e23d91648efa51083c1a04899
0,         38,         38,        1,     2304, 1914d78e7b85f35cd5946771393cf56b
0,         39,         39,        1,     2304, 1533ed71d4a2c94ad5530bcad463bf15
0,         40,         40,        1,     2304, 620d4f5d04e6def16b11dbf362bfa5a9
0,         41,         41,        1,     2304, c45dc9b220a0e4b9b642531294e62641
0,         42,         42,        1,     2304, 8daca9a1d4831e54608d8d49438bff3b
0,         43,         43,        1,     2304, 662983b053708f86b01d6323e44a7b90
0,         44,         44,        1,     2304, c88823dcfaa5440e69da97f294e121dd
0,         45,         45,        1,     2304, e20192aab1f3001743907abd98a55731
0,         46,         46,        1,     2304, 6c56f9179d3bf2a5dfce48f4e530a44f
0,         47,         47,        1,     2304, d452ba2448b7bdba5a4ea57da1c9004a
0,         48,         48,        1,     2304, e5608fb5a7f73fdc4a91c27d08e3792a
0,         49,         49,        1,     2304, b97e761d8b1ff9297568d3dabeec4936
0,         50,         50,        1,     2304, 291a7a8806177811a8808ad240faae02
0,         51,         51,        1,     2304, bf5514e83ea24b90da04adf727ba626a
0,         52,         52,        1,     2304, becbfc544420f0d45ccf987e2f4186e4
0,         53,         53,        1,     2304, f2e4ae32a5cb86f6f250bbbb0a555f4d
