#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/30
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 64x36
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        2,     2304, d38e02547c542a16ad2253502cf1584f
0,          2,          2,        2,     2304, b71ea76a2b1c39993627a8a3ec02d438
0,          4,          4,        2,     2304, b7b2a8ce463300575cb97b62d693a18e
0,          6,          6,        2,     2304, a4803c7b88fbb93131cc74eeb8b4bef5
0,         15,         15,        2,     2304, 447afa23ca1cf80e80d3b20d2b3e54df
0,         17,         17,        2,     2304, c28c001a189d19e44e65755fe3dc14fe
0,         19,         19,        2,     2304, 0963029a7f39c6c1691cd3bd72c55d3d
0,         21,         21,        2,     2304, 21ca0609daed525ad35b241e87fa74a7
0,         23,         23,        2,     2304, 8dfdb8e7f97362100bfeae89d82663aa
0,         25,         25,        2,     2304, 4a0634a199d41018deb6e920eae8a00c
0,         27,         27,        2,     2304, 8149f63849096ba2642c3c6c9e3931fa
0,         29,         29,        2,     2304, 3eb5daae1c3b2c6bb33004f69f431691
0,         31,         31,        2,     2304, 136c1ecbb963673e84a8f966cf961451
0,         33,         33,        2,     2304, 2d49e6924b67a41f736707d30bae3f62
0,         35,         35,        2,     2304, 5a95a90e652790724aed9ebc0f4fef77
0,         37,         37,        2,     2304, d46c3a95472e75655526b4c284da75a3
0,         39,         39,        2,     2304, 309d6596976079d4e4c05e498e51108b
0,         41,         41,        2,     2304, 644686d7b9cb4f12912a594956d60285
0,         43,         43,        2,     2304, 0aa79d9cc0c2bc0abe8c0be983ac0148
0,         45,         45,        2,     2304, 0aa79d9cc0c2bc0abe8c0be983ac0148
0,         47,         47,        2,     2304, daa7a5d146e60105b0f87ac94d4ac4e7
0,         49,         49,        2,     2304, 682c5b33a11136ed74dfdee7e42aa267
0,         51,         51,        2,     2304, 682c5b33a11136ed74dfdee7e42aa267
0,         53,         53,        2,     2304, 462c85504f6427dc12b2e6a4a7b3e534
0,         55,         55,        2,     2304, 47941c2f8746d39d887b86c9fefe701e
0,         57,         57,        2,     2304, a03d8294043e16d0bab9440bed876b50
0,         59,         59,        2,     2304, 1ee887a9fc135b52db97aa696e97da04
0,         61,         61,        2,     2304, 78b6fd1dc0fcf6d5baebd105c0147d46
0,         63,         63,        2,     2304, 29896ad5d0208394c8399add98843afb
0,         65,         65,        2,     2304, 69717d7a483082fc335b42c1456fc381
0,         67,         67,        2,     2304, cd1d3d71c9783c4414adb43d75b94727
0,         69,         69,        2,     2304, c67af7aafda4289c3d9392da137a31ec
0,         71,         71,        2,     2304, 862da6614a5fad898f2d4aebda5707d6
0,         73,         73,        2,     2304, b258807d663781dae2664e0ba79242f6
0,         75,         75,        2,     2304, 47652c449dbcc6f56b2fdbd5bb92cad7
0,         77,         77,        2,     2304, 13392da1eaf46723704dc8be9825efff
0,         79,         79,        2,     2304, 21e99d070fdf8f82f992ddff2528c147
0,         81,         81,        2,     2304, 651bed7e1c7b19a8e28cac7060d01023
0,         84,         84,        2,     2304, 4d623339577c84a5f41d9ebfed46f53c
0,         86,         86,        2,     2304, f0e6995e7d190195a3d4553f086f4b04
0,         88,         88,        2,     2304, a7b07e6f5cebea48dce1987836b817f6
0,         90,         90,        2,     2304, 08e674606fd474f7e1f307b6ad9094c0
0,         92,         92,        2,     2304, f631c2fb7f223245a63c2ba75f7c23a8
0,         94,         94,        2,     2304, 66c724cb57bba0ecce3fc65fac5ff672
0,         96,         96,        2,     2304, 83053ad865b0b4fbd036f8b9c5050e2a
0,         98,         98,        2,     2304, 4b214b6d316033d1dc46265ece49cb84
