#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 6/89
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 64x36
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,     2304, 8d9eaf3383496b1be23b8d0f0a599954
0,          1,          1,        1,     2304, d5c7e111041a6b71107091b713ca7887
0,          3,          3,        1,     2304, 970c2fc095a081fa49c2e0333ed0647f
0,          4,          4,        1,     2304, 47dd95791b4fc3d6c5b3fb169220dcea
0,          7,          7,        1,     2304, 82e1c1c8f60333d9b03cc206bd8788d5
0,          8,          8,        1,     2304, 04bb33fbc6d678362e2d994963e52e96
0,          9,          9,        1,     2304, 76151ee135e65a63264d82921f38a643
0,         10,         10,        1,     2304, 1bd2ec7e5e8d66be170410d399b98c98
0,         11,         11,        1,     2304, 1f1993c49c33bd38444d80788821a8e5
0,         12,         12,        1,     2304, 91fb7b47122658fd346f278655fae9a0
0,         13,         13,        1,     2304, 0fb18e7d05cab6af60a600f2bb236f15
0,         14,         14,        1,     2304, f259c95c25df5d3210632ece154a4685
0,         15,         15,        1,     2304, c71818526df36af95aaad67455f5a56b
0,         16,         16,        1,     2304, b345ff9f62070d79e1ff6d21a26592c1
0,         17,         17,        1,     2304, 23c9ef9aeb0d71807b35580517538094
0,         18,         18,        1,     2304, cb66e88e1f04180b0d9dd2cfd390ab76
0,         19,         19,        1,     2304, e7007556fe3fff39c3e76fee24aa2f25
0,         20,         20,        1,     2304, 11a84ddfbef18f902a2a45e027e69f1a
0,         21,         21,        1,     2304, d3aca5c15cdd2ebbbd860a3f7d74c7cd
0,         22,         22,        1,     2304, 02698e3be8466b40566ea6a723abd80c
0,         23,         23,        1,     2304, f8c8850e7352f83213e9e1cf697b67fd
0,         24,         24,        1,     2304, 5bf3fd35d83e4d6ca5f9e88549b000f2
0,         25,         25,        1,     2304, 9a9eee6d9bc8e9354b7f8dd395a2f373
0,         26,         26,        1,     2304, 4a5e8422573f4c27fe8bb15e36dc37bd
0,         27,         27,        1,     2304, 468c9b02072eb54daf90647471200e96
0,         28,         28,        1,     2304, f8eaac66dec9c09fca608432781e7cca
0,         29,         29,        1,     2304, 9bc1ff42bb9c5ebdbb159a3dde441c36
0,         30,         30,        1,     2304, ce731856662a8b86fbcab53aaac54616
0,         31,         31,        1,     2304, 1f501d64f9cd8d1491fc68e982e2f99f
0,         32,         32,        1,     2304, dc4e88b16a05ffa06b35b381d75ba10f
0,         33,         33,        1,     2304, 818b59fb86a6819d045ed20d90694c7f
0,         34,         34,        1,     2304, d1236fd56e3875afc5d518a5d2e33d5c
0,         35,         35,        1,     2304, 2fe3a9d43732a4b7df3496db260bef63
0,         36,         36,        1,     2304, 3ef253ddbc17788417924ffc51dbbbb7
0,         37,         37,        1,     2304, e1d316b4f91d96a396380f8bb40d6736
0,         38,         38,        1,     2304, 29a79c9344c3c6f2de16d4e2c46ff2b0
0,         39,         39,        1,     2304, 64b1e140330f9230a2022b9e2ab477d6
0,         40,         40,        1,     2304, 10efffe222dd9fc5c50e3d83ed7cfd92
0,         41,         41,        1,     2304, f0486821d375261b2591a134d6bf7fc5
0,         42,         42,        1,     2304, 64bb4b63066708817e5841e3fdd5d44c
0,         43,         43,        1,     2304, 4465374cc9ba3691ddd625e4406c40b4
0,         44,         44,        1,     2304, 12cfd9c7f5996b46d6e7b193261bed93
0,         45,         45,        1,     2304, 846b6d29dc12c5c21be8ae0283134044
0,         46,         46,        1,     2304, 145d5451c074650567cfbeca0091b6da
0,         47,         47,        1,     2304, cf5c91fb6b529dd10f813d351d2d388b
0,         48,         48,        1,     2304, 5b2b6ec0c120e473dbbb980e06ef8429
0,         49,         49,        1,     2304, f02c1aad043175d0e892cbf130deffef
0,         50,         50,        1,     2304, 7f0264c09ce51f1232e1f088d5af8dd3
0,         51,         51,        1,     2304, a01d822acbdd8100503523be88edbfde
0,         52,         52,        1,     2304, 3be9def9eb66247d14da4638a0c15f3d
0,         53,         53,        1,     2304, 597774573943501575b090fa3912b843
0,         54,         54,        1,     2304, 7e02e3068ec81c7032ee7af52226de6f
0,         55,         55,        1,     2304, d2d3dbc13c3353f2e4bb7f8cb0fe4050
0,         56,         56,        1,     2304, debb4f99efb5632a5e7131b5c04c9811
0,         57,         57,        1,     2304, a5c3ceda3cc1183747068255ab060e3f
0,         58,         58,        1,     2304, fc421079c766c6b3deae3b897c51d90b
0,         59,         59,        1,     2304, a4b315b85eb349896d22bc64cecdd1f0
